Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
6,103.877,137.739,184.896,142.318,204.894,104.046,106.762,138.533,148.01,113.879,79.941,114.075,214.702,109.293,94.928,139.52,156.328,123.289,83.692,121.159
6,107.6,137.223,181.434,142.005,208.653,106.283,109.64,141.474,150.136,115.996,81.73,116.074,214.485,109.486,95.505,139.736,159.787,125.968,88.919,124.784
6,104.657,137.89,185.628,142.971,208.653,106.283,109.64,141.474,145.97,113.752,81.288,113.797,218.152,113.963,97.978,143.301,157.506,123.195,84.692,121.793
5,109.05,145.61,194.234,149.821,202.633,102.054,105.687,136.813,145.267,113.938,83.005,114.213,171.549,84.604,75.208,110.533,157.906,124.066,88.72,123.567
5,98.819,134.745,183.668,139.261,202.633,102.054,105.687,136.813,145.267,113.938,83.005,114.213,204.356,102.931,90.001,132.353,154.54,120.181,83.408,119.328
5,104.381,138.089,184.734,142.494,198.121,101.001,104.99,134.751,142.71,110.76,80.88,111.624,215.265,111.47,99.346,141.973,151.328,116.294,79.591,115.807
5,112.283,144.228,191.521,149.382,191.739,101.075,106.187,132.941,145.213,113.514,82.848,114.019,224.609,119.379,104.827,149.612,153.003,118.86,81.439,117.744
5,100.511,136.762,185.396,141.069,202.105,103.03,106.724,137.346,144.789,114.051,84.046,114.445,220.025,120.012,106.506,148.829,153.518,117.981,81.592,117.763
5,102.468,135.802,182.524,140.324,195.867,98.349,102.066,132.11,142.671,111.316,81.285,111.925,217.768,119.075,105.814,147.529,157.868,122.553,83.279,121.263
5,102.076,136.391,184.665,141.219,195.668,99.478,103.262,132.764,142.698,112.729,82.572,112.746,219.746,115.745,101.887,145.776,160.675,126.64,88.431,125.187
5,101.556,136.987,185.779,141.574,194.015,104.363,106.699,135.106,142.766,113.047,83.257,113.142,217.577,110.646,97.221,141.876,156.615,121.428,82.382,120.213
5,112.572,146.335,195.753,151.707,200.386,111.109,112.87,141.467,136.849,107.424,78.564,107.777,214.27,106.732,94.154,138.362,158.96,123.345,84.213,122.18
5,108.655,141.966,189.968,147.009,189.182,96.541,99.542,128.612,139.285,109.495,79.835,109.65,215.283,109.773,97.068,140.682,155.239,120.077,82.619,119.375
