Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
1,122.062,155.725,168.737,148.881,151.294,78.277,72.759,100.654,163.261,126.306,80.392,123.37,189.426,94.672,83.98,122.595,166.8,132.753,79.368,126.309
1,112.992,151.741,170.436,145.001,147.873,77.029,74.56,99.878,173.129,134.199,83.436,130.256,198.936,101.253,87.766,129.225,166.8,132.753,79.368,126.309
1,118.172,155.728,173.507,149.006,151.58,78.133,71.684,100.437,148.626,116.155,74.229,113.111,199.138,101.278,89.146,129.754,154.703,121.134,74.546,116.802
1,124.646,156.721,176.049,152.322,155.899,80.771,73.656,103.441,153.728,120.68,76.543,117.004,197.01,97.437,84.743,126.33,159.95,125.932,75.747,120.558
1,123.891,161.122,174.267,153.214,144.315,82.256,81.101,102.573,153.309,120.572,75.901,116.631,206.177,103.025,89.495,132.816,158.258,124.183,75.166,119.268
1,119.433,155.124,174.147,149.675,149.804,77.817,73.83,100.533,154.986,121.726,78.328,118.267,206.721,103.486,91.175,133.764,159.66,126.604,77.497,121.189
1,135.416,177.792,184.051,165.683,141.05,73.236,69.947,94.794,154.986,121.726,78.328,118.267,203.625,101.624,88.427,131.082,164.921,131.3,79.941,125.42
1,123.657,155.581,173.309,150.775,144.04,75.267,69.913,96.247,153.017,122.624,80.11,118.599,217.597,111.502,95.498,141.589,162.044,128.388,78.856,123.099
1,123.442,157.013,173.655,151.282,147.763,78.508,71.661,99.444,158.518,127.115,83.488,123.096,209.762,104.99,91.869,135.408,160.003,127.082,77.768,121.665
1,125.335,162.356,174.1,153.968,163.166,85.895,77.489,108.9,157.155,125.458,83.998,122.245,211.717,105.948,92.75,136.772,155.053,120.962,76.66,117.538
2,114.864,154.784,201.946,157.299,239.408,143.759,145.274,176.279,157.808,128.434,98.438,128.424,184.545,93.967,82.384,120.196,162.13,127.699,91.782,127.276
2,115.634,161.705,210.09,162.61,215.843,117.188,120.919,151.223,174.54,142.974,108.525,142.126,184.545,93.967,82.384,120.196,159.986,126.704,90.052,125.571
2,123.984,162.57,211.821,166.246,219.08,118.131,122.181,153.133,181.726,150.397,114.041,148.714,193.976,98.322,86.265,126.127,175.093,140.297,101.242,138.899
2,120.93,163.948,211.871,165.675,230.079,128.254,132.655,163.767,171.988,139.349,106.431,139.348,179.901,91.857,80.743,117.551,162.928,129.424,92.97,128.486
2,124.766,163.463,212.167,166.907,232.865,131.342,134.799,166.415,173.985,141.533,107.759,141.161,190.907,97.853,85.761,124.766,165.062,130.406,93.395,129.636
2,122.78,158.31,207.902,163.128,237.278,133.079,137.592,169.436,177.51,146.221,111.233,144.98,193.015,98.284,86.256,125.759,161.307,127.155,90.05,126.213
2,125.58,170.794,219.059,171.882,231.259,127.259,131.714,163.664,175.515,142.873,108.794,142.382,184.907,94.078,81.78,120.048,159.849,125.329,90.071,125.095
2,128.113,163.409,210.456,167.483,227.672,124.489,128.854,160.559,175.272,142.423,108.055,141.959,179.824,90.956,80.028,116.944,166.66,132.85,94.993,131.54
2,120.646,156.169,205.766,161.018,229.485,126.149,130.889,162.397,175.982,142.762,108.555,142.497,179.554,90.326,79.912,116.601,160.736,126.645,90.265,125.958
2,125.119,164.924,212.535,167.717,234.889,131.038,135.443,167.379,177.264,145.421,111.143,144.653,182.467,92.349,81.49,118.74,163.001,128.928,90.841,127.541
3,111.811,149.884,194.366,151.902,207.747,109.203,111.459,142.891,169.265,137.294,104.119,136.977,169.448,83.389,73.907,108.988,159.96,125.741,89.333,125.035
3,112.651,152.09,197.889,154.101,209.47,109.925,113.008,144.079,169.265,137.294,104.119,136.977,172.276,85.852,75.461,111.321,158.298,123.454,87.166,123.043
3,103.517,141.265,186.002,143.55,215.442,115.48,117.857,149.613,165.973,134.18,101.414,133.966,182.656,92.652,81.733,119.084,152.576,118.669,84.289,118.612
3,108.634,136.364,180.677,141.789,211.647,112.084,114.393,146.085,163.74,131.876,99.836,131.942,182.211,92.388,81.67,118.784,155.608,121.271,85.867,120.93
3,105.708,148.748,194.652,149.565,208.419,110.363,113.031,143.964,163.74,131.876,99.836,131.942,240.427,113.036,98.279,150.524,150.377,116.826,82.692,116.628
3,107.346,141.105,185.345,144.569,206.352,108.654,111.016,142.077,164.108,132.57,102.589,135.344,187.788,98.782,85.509,123.893,167.154,131.031,92.953,130.436
3,105.42,147.54,194.596,149.213,208.746,112.491,115.798,145.767,167.868,135.404,102.589,135.344,188.115,98.903,85.761,124.142,146.558,114.868,79.418,113.645
3,105.623,137.539,184.14,142.412,206.433,109.045,111.621,142.408,170.502,138.272,104.515,137.806,217.698,116.41,100.297,144.777,153.591,119.832,85.14,119.539
3,105.124,145.117,191.17,147.055,206.684,111.062,114.098,144.056,165.222,133.453,101.892,133.716,192.029,99.901,87.294,126.345,157.959,125.327,88.024,123.821
3,107.279,141.841,190.639,146.565,207.85,109.401,112.447,143.181,165.222,133.453,101.892,133.716,186.141,95.754,83.046,121.645,158.617,125.279,88.723,124.318
4,123.854,163.926,210.515,166.124,213.529,113.172,115.94,147.555,173.63,141.852,107.42,140.921,205.189,104.676,91.073,133.554,172.214,137.78,97.554,135.805
4,116.475,157.595,205.461,159.908,220.748,118.673,122.089,153.756,174.594,142.36,108.334,141.782,203.182,109.055,93.592,135.294,163.1,128.72,91.646,127.834
4,120.637,159.796,205.706,162.112,219.385,117.863,121.035,152.673,170.249,138.576,105.701,138.242,209.777,113.025,98.676,140.326,170.926,136.866,96.825,134.926
4,116.349,157.16,204.34,159.397,215.947,115.015,118.007,149.571,171.86,139.704,105.873,139.134,219.203,116.51,101.907,145.814,160.337,127.053,90.063,125.848
4,118.19,159.797,206.226,161.537,226.732,123.331,126.222,158.603,177.166,144.289,108.771,143.343,216.428,114.808,100.896,143.943,173.541,139.024,98.398,136.952
4,117.556,159.396,206.837,161.299,222.077,119.997,122.561,154.781,172.626,140.431,106.5,139.824,219.737,112.64,98.321,143.535,170.745,136.778,97.391,135.045
4,115.736,146.078,192.858,151.465,217.713,116.399,119.86,151.255,174.041,141.226,106.961,140.759,229.473,122.958,107.886,153.434,166.77,133.66,94.896,131.758
4,123.69,164.744,210.992,166.675,220.226,118.912,121.896,153.614,175.776,143.082,108.496,142.433,224.18,116.755,101.657,147.494,179.445,144.508,103.987,142.585
4,126.577,171.556,216.746,171.659,222.491,120.441,123.82,155.477,176.179,143.841,108.726,142.936,225.554,119.102,103.95,149.481,165.311,131.367,93.898,130.288
4,122.284,165.736,212.512,166.871,225.329,123.638,126.744,158.538,180.814,148.531,112.279,147.211,232.114,131.588,114.642,159.437,163.248,129.443,91.916,128.199
