Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
1,121.685,149.025,150.072,140.283,146.175,61.567,45.554,84.399,135.463,109.686,72.312,105.828,164.931,85.73,66.829,105.752,140.569,112.992,63.723,105.817
1,113.659,141.74,145.765,133.728,144.355,59.382,43.012,82.091,134.475,107.756,71.049,104.458,157.689,80.866,61.13,99.992,142.569,115.85,64.929,107.811
1,116.178,143.373,149.049,136.09,141.278,56.819,43.641,80.442,139.52,114.327,76.358,110.004,147.328,73.527,55.134,92.151,143.721,118.263,66.706,109.606
1,116.51,147.987,153.581,139.386,147.576,61.42,45.983,84.967,130.427,104.548,69.494,101.446,149.885,75.033,58.462,94.352,147.368,121.985,71.339,113.536
1,105.848,136.68,146.356,129.637,146.16,59.278,42.002,82.454,128.547,102.132,67.965,99.566,145.157,72.343,55.238,91.029,139.208,112.556,63.072,105.003
1,115.083,142.55,148.577,135.301,145.423,57.257,41.851,81.593,129.275,103.514,69.094,100.625,154.541,79.26,60.611,98.24,145.098,117.802,66.167,109.616
1,118.787,145.281,148.843,137.541,137.453,54.215,40.389,77.336,145.292,119.307,82.003,115.525,145.184,71.998,56.116,91.017,144.457,116.407,65.138,108.679
1,116.19,146.116,150.755,137.656,140.831,57.558,42.216,80.245,129.073,102.673,68.774,100.145,146.197,72.694,56.203,91.778,148.585,122.573,69.692,113.617
1,112.379,141.265,146.874,133.305,144.901,58.786,42.782,82.164,129.546,103.589,68.937,100.67,150.341,75.77,58.219,94.834,143.024,117.218,65.938,108.689
1,109.856,137.888,147.026,131.533,148.462,58.469,47.501,84.712,130.346,104.089,69.666,101.29,163.303,86.153,65.305,105.012,144.195,117.235,69.017,110.258
2,119.091,146.389,180.58,148.627,167.77,69.767,61.791,99.837,144.576,119.278,94.569,119.394,163.769,83.218,71.176,106.038,151.601,122.332,86.68,120.092
2,119.091,146.389,180.58,148.627,177.589,74.857,65.59,105.829,154.825,129.891,103.448,129.316,181.942,101.998,89.925,124.633,157.3,127.709,87.573,124.153
2,131.003,154.303,185.014,157,182.217,76.503,71.482,110.298,153.733,128.257,102.482,128.088,163.516,83.618,71.325,106.122,157.452,127.355,86.136,123.586
2,129.909,153.598,184.602,156.184,178.396,75.796,64.14,106.129,157.135,131.224,104.066,130.759,169.332,87.418,75.886,110.87,163.703,137.932,89.408,130.307
2,132.88,157.119,188.638,159.57,177.347,77.745,69.034,108.033,138.997,122.492,98.725,120.254,173.089,91.923,83.13,116.263,162.773,133.185,90.847,128.901
2,118.608,143.691,178.319,146.823,186.623,81.621,69.092,112.355,142.31,125.853,100.742,123.059,173.16,92.569,82.608,116.339,159.545,131.217,89.556,126.762
2,123.591,149.272,185.038,152.752,183.128,79.19,69.701,110.535,139.655,121.83,98.786,120.284,176.279,95.533,84.395,118.76,162.083,132.628,91.456,128.748
2,114.728,142.818,179.883,145.89,183.775,80.02,69.651,111.031,141.091,123.437,99.568,121.487,175.564,93.665,83.069,117.538,157.193,127.498,87.77,124.093
2,124.341,150.259,184.289,152.918,183.263,79.025,67.871,109.996,139.45,122.348,98.011,120.027,176.136,95.699,83.273,118.321,159.99,130.361,89.29,126.497
2,130.659,156.611,190.153,159.141,180.699,77.777,68.477,108.875,144.233,127.93,104.11,125.615,179.543,98.943,85.927,121.554,165.347,135.913,94.786,132.056
3,118.606,143.697,171.394,144.458,166.378,70.247,63.246,100.099,120.079,104.111,82.477,102.292,161.055,87.89,77.902,108.985,153.437,126.422,88.853,122.866
3,115.977,141.6,170.014,142.45,168.053,73.521,66.156,102.544,122.203,106.274,84.625,104.448,160.613,86.761,76.142,107.792,144.172,116.646,81.435,114.029
3,102.684,131.582,169.044,134.606,164.564,70.285,63.066,99.34,122.203,106.274,84.625,104.448,146.531,77.119,69.45,97.969,137.454,109.625,73.164,106.706
3,118.47,143.506,169.554,143.98,173.683,77.592,70.965,107.369,121.413,106.102,84.837,104.158,160.714,84.247,76.748,107.293,150.003,122.726,85.071,119.233
3,98.019,123.174,162.122,127.932,161.957,68.64,61.06,97.108,120.609,104.011,81.924,102.347,151.267,81.377,70.403,100.968,140.294,113.443,76.774,110.176
3,119.809,144.5,170.251,145.01,167.966,73.385,66.189,102.508,135.38,119.6,96.789,117.294,162.437,86.854,72.27,107.209,207.015,182.193,136.396,175.173
3,97.491,127.139,169.408,131.339,169.139,74.555,67.366,103.652,119.644,103.823,82.201,101.927,158.652,82.409,72.338,104.527,146.47,119.987,79.686,115.358
3,99.954,125.763,165.153,130.401,167.541,71.816,64.82,101.523,137.769,124.664,101.559,121.332,168.218,89.98,80.699,113.114,160.83,133.523,89.079,127.911
3,116.544,142.886,173.763,144.428,164.722,70.631,63.037,99.501,119.928,103.852,82.265,102.126,151.368,80.494,70.993,101.036,142.327,114.383,74.155,110.266
3,112.426,134.797,170.586,139.292,177.751,81.129,74.773,111.199,122.791,106.213,84.825,104.76,157.748,81.962,71.807,103.821,156.723,130.958,89.653,125.737
4,110.003,137.565,179.863,142.437,178.846,76.627,67.402,107.55,143.943,127.528,102.619,124.789,177.686,95.875,82.332,118.628,172.786,146.106,101.786,140.228
