Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
9,143.036,178.459,154.521,158.68,171.175,85.504,101.446,119.396,166.586,146.219,93.046,135.33,161.866,93.799,71.41,109.093,161.487,140.769,78.93,127.097
9,145.397,180.001,157.355,160.931,167.296,82.946,98.757,116.4,171.794,150.571,95.797,139.355,168.958,98.255,75.259,114.223,173.96,151.906,84.739,136.848
9,135.708,174.709,155.834,155.473,183.26,92.325,108.384,128.108,165.86,145.515,91.419,134.151,172.785,100.834,74.205,115.95,159.419,139.344,74.858,124.574
9,143.975,176.752,156.658,159.072,173.787,86.683,101.475,120.562,167.831,146.358,93.429,135.886,172.785,100.834,74.205,115.95,168.493,146.392,79.772,131.591
9,143.329,181.005,160.523,161.675,176.158,88.337,102.871,122.464,166.01,145.112,92.04,134.363,173.023,101.03,75.294,116.519,166.72,144.501,79.438,130.23
9,145.389,181.022,160.002,162.118,177.949,89.874,104.793,124.156,170.926,149.472,94.281,138.216,173.023,101.03,75.294,116.519,174.567,152.229,85.368,137.357
9,137.825,173.086,152.232,154.332,170.711,84.808,102.257,119.353,157.871,138.477,87.564,127.824,172.001,100.146,77.325,116.381,166.669,144.674,82.478,131.266
9,132.327,173.386,160.583,155.522,173.247,85.713,101.685,120.333,156.347,136.517,85.64,126.111,172.706,100.616,75.582,116.264,165.085,143.696,80.906,129.884
9,131.72,173.252,156.866,153.911,162.735,79.808,93.701,112.009,170.147,149.642,93.595,137.714,173.833,102.258,75.059,117.086,168.418,146.367,81.144,131.978
9,126.087,160.198,143.592,143.226,170.46,85.238,101.042,118.856,164.676,144.75,91.543,133.555,170.454,99.562,71.921,114.009,158.649,138.271,77.365,124.792
8,100.994,130.758,141.486,124.471,164.669,77.559,100.395,114.168,152.099,127.503,89.559,123.096,163.021,88.166,74.927,108.607,137.076,114.457,71.767,107.827
8,100.7,133.485,141.018,125.106,168.942,78.624,103.381,117.063,145.284,122.854,86.546,118.299,130.334,70.354,60.463,87.044,130.261,108.315,68.776,102.481
8,103.828,137.06,144.308,128.413,175.248,82.608,106.604,121.393,145.321,122.78,86.332,118.234,140.318,77.313,61.861,93.179,141.736,118.495,73.778,111.376
8,88.205,121.639,133.353,114.462,177.167,85.506,109.636,124.004,146.572,122.93,85.663,118.263,143.641,78.287,64.868,95.558,141.761,118.337,72.78,110.987
8,107.34,140.428,148.191,131.993,173.765,81.814,105.49,120.26,149.858,125.794,88.214,121.145,138.004,74.845,62.524,91.742,121.654,100.69,63.091,95.101
8,100.389,134.464,143.864,126.313,168.048,77.509,101.747,115.666,149.295,124.887,87.456,120.502,141.594,77.334,63.772,94.255,129.799,107.65,67.417,101.683
