Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
9,125.41,149.424,153.385,142.633,150.262,62.934,49.044,87.327,106.435,89.758,60.588,85.384,147.949,75.36,58.457,94.095,134.195,108.592,56.552,99.855
9,102.021,129.055,147.747,126.067,141.815,56.778,41.33,79.911,115.762,99.51,68.932,94.591,146.731,73.36,55.252,92.008,141.782,115.029,59.854,105.613
9,105.157,130.495,143.72,126.391,137.151,52.708,34.155,74.812,112.223,96.717,66.331,91.637,145.047,75.098,56.806,92.441,144.435,120.534,60.749,108.46
9,114.182,139.844,148.381,134.094,158.337,64.202,49.089,90.585,116.415,101.011,69.373,95.55,147.193,73.706,54.767,92.061,136.742,109.665,58.295,101.535
9,104.774,130.377,149.723,128.191,160.007,67.918,50.001,92.785,113.304,97.546,67.096,92.454,150.163,76.135,57.964,94.999,146.739,119.243,62.695,109.606
9,149.172,169.891,171.967,163.746,161.922,68.604,50.508,93.602,116.882,100.829,69.241,95.581,153.249,79.181,60.242,97.761,155.631,131.664,67.326,118.107
9,127.217,152.56,156.248,145.238,167.369,72.008,53.806,97.738,126.127,109.41,75.781,103.727,157.797,81.04,59.769,99.651,152.105,125.573,67.355,115.064
9,106.946,135.31,153.856,132.089,169.05,72.77,54.094,98.752,124.995,109.081,74.106,102.694,160.834,83.577,62.687,102.475,156.031,129.481,68.54,118.028
9,117.718,143.491,156.474,139.207,169.484,73.042,52.875,98.507,128.355,114.059,79.044,107.156,163.013,86.017,62.477,103.844,163.102,136.564,70.315,123.305
9,118.521,146.191,153.502,139.333,164.039,69.909,51.042,95.11,126.417,110.802,75.723,104.31,163.59,86.856,63.591,104.701,155.572,128.92,67.147,117.311
8,89.623,109.137,132.512,110.341,134.31,61.986,67.576,88.193,92.541,75.998,52.348,73.848,122.876,56.123,46.814,75.179,115.302,89.223,47.869,84.28
8,59.345,82.69,120.739,87.851,133.957,61.583,66.706,87.62,94.373,76.631,53.09,74.848,126.497,57.961,47.72,77.268,116.02,89.653,49.441,84.915
8,66.9,91.422,130.002,96.26,127.771,58.939,63.429,83.403,98.461,81.97,58.807,79.901,126.29,57.879,47.591,77.064,113.465,87.296,45.487,82.148
8,81.675,106.832,141.073,109.865,135.423,63.43,68.549,89.273,96.885,79.583,56.1,77.727,127.004,59.989,49.89,78.799,113.465,87.296,45.487,82.148
8,67.569,90.556,120.848,93.002,130.307,60.787,65.327,85.517,94.946,78.244,54.723,76.171,120.305,57.565,48.161,75.277,115.429,88.837,47.13,83.846
8,77.085,106.935,144.971,109.75,126.714,59.78,63.83,83.36,99.319,83.207,58.123,80.311,121.806,60.966,48.668,76.875,118.229,93.117,49.885,87.093
8,61.338,87.263,123.929,91.017,123.423,56.817,61.618,80.656,97.098,80.798,56.78,78.448,138.299,68.143,55.641,87.275,133.51,112.513,51.941,99.256
8,66.897,91.764,124.339,94.296,132.653,61.847,65.579,86.645,105.012,88.759,62.955,85.658,131.638,65.388,52.652,82.994,122.824,96.172,54.08,90.984
8,106.122,128.755,144.486,126.492,143.68,67.103,71.668,94.318,97.338,82.238,58.962,79.597,130.382,63.188,52.253,81.821,127.428,101.701,59.534,96.174
8,124.649,147.187,164.529,145.34,145.465,70.066,76.173,97.323,100.759,86.711,62.137,83.167,147.635,77.926,54.184,93.309,119.178,93.632,51.024,88.043
7,67.838,84.332,111.705,88.055,138.656,60.602,68.257,89.003,83.144,63.084,47.797,64.584,105.24,43.59,35.194,61.292,90.094,65.376,26.954,60.587
7,43.021,63.013,98.95,68.479,123.704,53.737,59.185,79.17,84.075,64.977,44.977,64.583,114.095,66.88,54.484,78.426,97.287,70.68,38.372,68.965
7,57.428,76.661,109.695,81.262,149.516,66.631,75.389,97.232,88.997,71.525,52.538,71.117,115.762,58.626,52.053,75.71,90.256,63.914,31.399,61.997
