Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
10,37.74,55.273,84.053,59.126,108.389,43.449,49.1,67.189,72.933,51.539,31.326,51.977,101.5,39.206,32.495,57.612,82.899,56.231,22.873,54.165
10,35.217,52.892,80.896,56.424,121.129,49.729,55.892,75.802,79.254,57.936,39.408,59.053,95.753,37.717,31.671,55.228,81.885,55.682,21.65,53.17
10,55.576,72.267,99.497,75.799,108.228,49.052,54.449,70.768,78.197,57.129,38.007,57.96,101.659,38.038,31.702,57.187,84.283,57.689,24.956,55.628
10,51.974,68.624,95.284,71.959,119.204,50.935,56.47,75.705,82.844,60.412,39.742,60.94,103.164,40.374,32.869,58.839,91.176,63.391,32.486,62.327
10,35.627,53.883,83.243,57.592,110.618,43.687,49.885,68.244,76.634,54.001,34.73,55.328,100.476,38.479,32.944,57.545,82.56,54.459,21.862,53.029
10,52.56,68.879,94.47,71.966,113.861,44.456,51.364,69.952,79.196,56.822,37.084,57.831,104.211,40.618,34.131,59.735,83.797,56.471,24.514,54.995
10,38.979,56.412,84.148,59.921,107.785,42.51,48.408,66.512,85.91,64.846,44.755,65.265,101.838,38.689,32.286,57.629,80.548,53.937,21.89,52.192
10,49.891,65.905,89.86,68.491,107.17,42.73,48.496,66.353,76.507,54.065,34.046,54.905,100.75,38.924,32.584,57.55,87.334,58.465,24.533,56.667
10,43.417,60.518,88.861,64.323,110.642,44.537,50.694,68.868,76.728,54.99,35.072,55.627,101.595,38.949,31.891,57.538,88.967,61.388,27.647,59.421
10,38.58,57.498,86.409,60.842,116.822,48.465,54.319,73.212,78.407,55.799,34.949,56.297,103.684,39.956,32.049,58.69,98.876,71.936,37.12,69.347
11,65.522,79.443,105.463,83.469,125.752,53.383,59.404,79.689,82.715,60.679,39.905,61.008,115.053,47.433,43.679,68.655,92.51,65.639,34.141,64.106
11,59.459,73.299,97.822,76.873,123.706,52.255,58.24,78.351,84.558,63.661,43.606,63.876,114.369,47.565,40.707,67.789,89.185,60.63,26.391,58.677
11,56.145,71.477,96.948,74.834,115.44,49.037,52.986,72.312,79.524,57.491,37.062,57.997,111.137,45.637,37.489,64.754,84.309,56.491,24.899,55.32
11,64.064,78.538,104.714,82.405,124.732,53.266,58.711,79.068,77.989,55.95,34.955,56.234,107.188,42.3,35.755,62.025,89.03,64.29,28.856,60.883
11,68.308,83.269,110.374,87.33,118.683,49.469,55.08,74.673,79.221,56.763,37.091,57.805,107.526,43.11,36.149,62.518,87.58,60.153,26.043,58.034
11,61.381,75.699,101.587,79.521,122.423,51.058,57.014,77.114,78.67,59.787,42.834,60.525,114.394,48.358,41.943,68.319,85.35,56.231,20.239,53.813
11,50.052,67.236,96.427,71.211,120.787,50.812,56.519,76.306,88.278,63.258,42.837,64.803,99.769,37.146,30.369,55.755,85.036,55.051,20.408,53.349
11,51.961,68.744,97.298,72.664,126.746,53.044,58.661,79.58,87.402,67,47.344,67.363,104.144,40.86,34.181,59.64,86.077,56.394,21.941,54.69
11,57.441,72.787,98.836,76.291,114.797,49.62,52.042,72.259,85.236,63.254,44.365,64.446,101.582,39.224,33.049,58.029,83.793,57.848,23.927,55.351
11,56.567,73.051,102.57,77.299,112.045,47.05,50.428,69.869,79.979,60.195,41.898,60.904,107.723,43.14,36.604,62.595,86.503,59.505,26.548,57.585
12,58.321,73.084,97.169,76.159,124.576,52.431,57.022,77.84,87.052,63.881,41.264,64.214,102.58,38.374,29.541,56.565,90.75,61.525,26.017,59.221
