Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,GO_R,GO_G,GO_B,GO_I
10,34.141,56.518,78.03,56.249,134.88,59.869,83.904,92.911,117.132,90.485,59.642,88.949,105.202,49.963,46.826,67.09,92.117,69.922,41.955,67.961
10,41.319,67.365,88.225,65.678,134.499,52.392,77.882,88.054,105.179,79.776,52.371,79.404,101.568,46.833,43.416,63.702,85.996,64.518,36.698,62.299
10,39.23,64.498,84.023,62.569,127.107,51.041,76.012,84.743,103.135,77.784,50.092,77.233,104.486,50.584,48.134,67.411,88.142,66.252,40.538,64.819
10,30.063,56.883,78.23,55.109,122.376,47.001,72.351,80.53,106.266,80.968,53.716,80.548,82.576,34.108,31.374,49.172,94.21,71.706,43.042,69.619
10,34,59.704,80.532,58.104,134.906,53.274,78.586,88.962,104.944,79.282,52.096,79.05,104.228,48.951,45.731,66.051,90.025,68.07,39.853,65.931
10,37.183,61.638,81.019,59.934,130.908,51.009,76.842,86.454,108.614,83.152,56.036,82.824,102.496,48.064,44.301,64.8,99.287,75.984,46.221,73.809
10,32.482,56.33,77.682,55.482,129.305,50.89,75.539,85.318,101.459,76.09,48.836,75.714,101.344,47.648,44.915,64.326,90.015,67.708,40.107,65.951
10,38.52,63.464,83.013,61.612,125.501,49.049,73.772,82.931,86.961,63.913,37.522,62.591,104.215,49.24,46.159,66.263,100.312,76.461,47.32,74.671
10,32.842,57.457,76.782,55.672,127.785,49.809,74.754,84.29,99.128,73.766,46.447,73.436,103.266,49.782,46.698,66.252,89.173,67.07,39.406,65.272
10,34.851,60.564,81.838,59.097,128.744,49.835,74.81,84.561,98.892,73.282,45.162,72.524,110.336,51.526,47.328,69.649,90.409,68.291,40.515,66.384
11,35.101,62.704,85.952,61.336,122.478,47.473,71.095,80.458,106.342,80.895,52.046,79.671,89.949,38.974,37.556,55.676,100.637,76.064,45.857,74.223
11,35.235,64.202,89.297,63.149,143.154,56.629,81.971,94.062,107.207,81.073,53.747,80.857,89.385,38.213,36.089,54.358,98.791,75.502,46.54,73.663
11,36.795,62.979,84.928,61.647,133.148,51.245,77.02,86.972,125.765,98.864,70.219,98.184,94.777,41.848,39.174,58.596,97.869,73.443,43.42,71.656
11,44.718,74.774,99.577,73.164,125.286,46.649,72.227,81.597,107.288,81.555,54.626,81.338,89.792,38.538,37.05,55.351,94.27,70.138,41.265,68.656
11,39.389,64.008,84.837,62.684,122.016,45.031,70.248,79.365,105.991,80.005,53.196,79.997,92.173,37.593,34.218,54.424,89.58,65.882,36.885,64.184
11,37.158,61.465,82.759,60.439,129.086,49.096,74.287,84.19,105.163,79.15,52.394,79.151,90.245,37.248,34.372,53.807,98.253,73.526,43.303,71.736
11,46.129,71.705,93.705,70.552,122.647,44.614,70.476,79.553,114.479,88.277,61.969,88.268,89.938,36.946,33.859,53.439,95.301,71.246,42.675,69.716
11,33.378,60.259,83.681,59.221,122.969,44.929,70.671,79.76,102.203,77.42,51.47,76.772,93.614,39.427,36.535,56.346,88.868,66.903,39.633,65.116
11,41.778,67.297,88.901,66.028,124.151,45.665,70.656,80.278,103.664,78.313,51.043,77.932,93.613,38.928,35.672,55.885,97.916,74.468,45.901,72.684
